Accession,Frist_Gene,Description,Peptides.used.for.quantitation,Confidence.score,UP,LB,LB,LB,glucose,glucose,glucose,glycerol + AA,glycerol + AA,glycerol + AA,acetate,acetate,acetate,fumarate,fumarate,fumarate,glucosamine,glucosamine,glucosamine,glycerol,glycerol,glycerol,pyruvate,pyruvate,pyruvate,chemostat µ=0.5,chemostat µ=0.5,chemostat µ=0.5,chemostat µ=0.35,chemostat µ=0.35,chemostat µ=0.35,chemostat µ=0.20,chemostat µ=0.20,chemostat µ=0.20,chemostat µ=0.12,chemostat µ=0.12,chemostat µ=0.12,stationary 1 day,stationary 1 day,stationary 1 day,stationary 3 days,stationary 3 days,stationary 3 days,glucose,glucose,glucose,50 mM NaCl,50 mM NaCl,50 mM NaCl,42°C,42°C,42°C,pH 6,pH 6,pH 6,xylose,xylose,xylose,mannose,mannose,mannose,galactose,galactose,galactose,succinate,succinate,succinate,fructose,fructose,fructose
sp|P24215|UXUA_ECOLI,uxuA,Mannonate dehydratase OS=Escherichia coli (strain K12) GN=uxuA PE=1 SV=2,12,707.59,P24215,2039.0096477583,1901.8005800321,1720.14819819417,367.319078019084,395.639252062791,394.800662827926,920.631614151495,806.441172262525,858.694678304769,347.467680135674,337.535344926368,374.3285394107,474.878022713384,510.090182658946,507.572707730878,447.767315355207,521.863171317171,353.112377426403,414.212235920592,493.774429220419,511.254160836378,332.117759267376,320.679536062635,469.513925276583,417.037674497754,412.811347040322,456.889393063064,455.865433808533,480.615463504901,508.353384800483,594.057659482466,547.71890490635,578.846480007305,518.511623025166,518.44359261602,503.373472693207,191.273983522502,313.316074579965,224.732825106181,153.756309284359,169.493940228214,158.546645565311,411.794973769342,366.66917147406,346.353160435042,247.739995000505,209.975120450401,282.955042043146,273.707106429052,326.830316116531,293.665351977228,317.521440117162,316.431723997629,299.221336755842,263.56356619204,286.13603142923,409.692622722942,572.634859180156,580.368755792122,643.879680275913,417.350080071982,367.559737826161,426.082612237898,367.71531637602,410.49750040978,381.279980825167,359.606192484305,339.925743044236,384.480030408131
sp|P08142|ILVB_ECOLI,ilvB,Acetolactate synthase isozyme 1 large subunit OS=Escherichia coli (strain K12) GN=ilvB PE=1 SV=1,22,1367.73,P08142,2036.95680059123,2173.93018374936,2195.96192067258,1747.95726289396,1887.44833566459,1822.62198069513,2013.33794590915,2020.37660325445,2348.84201469231,1413.78755401124,1381.01530226604,1404.58002986548,1589.75586960207,1482.75404531201,1489.62820634865,1584.12424832467,1828.68355646098,1440.04687459871,2102.96895098539,1956.45542562583,2036.81782479384,761.551638388617,745.391936998089,869.384374203324,2062.65676528393,2246.88976750507,1699.34128612933,1617.11927892668,1660.32061333974,1519.89851898493,1149.74822628745,1373.51069518108,1203.41844553149,1093.48273387112,1128.24864933725,1097.52790310767,130.378844737908,61.4922499648343,76.9426973070933,47.1844528423971,81.9118843430591,111.279379157699,1511.72761172981,1835.86291735174,1585.42837261341,915.882468541178,1546.74900449776,1232.32565923064,989.338695231118,825.049461831481,1193.52704530174,597.080765549121,636.359875343975,739.03563747888,1578.26704865107,1882.84893358782,1650.19021733265,1945.5304123435,2118.29362533429,1954.32578987368,845.639159719538,915.949081552831,935.70576639346,1857.63847775174,1611.86063620808,1705.61947537446,1556.42859717325,1648.09386011871,1796.62956545847
sp|P0AF08|MRP_ECOLI,mrp,Protein mrp OS=Escherichia coli (strain K12) GN=mrp PE=3 SV=1,9,575.07,P0AF08,2036.73701704629,2423.2483230389,2074.97670660446,1265.2440699828,1316.65135774207,1325.06950965002,1588.65897959135,1376.31187127923,1451.06323488925,704.427834554005,688.952620884976,717.022154404784,790.418361284296,886.02355485977,863.726666977585,1094.26203239441,1007.24879255094,990.329958539794,900.397680946734,1001.15917243957,933.055823639332,962.64566272716,909.303676628391,633.932046120781,796.672983465392,891.225799892835,709.482362509028,624.987871244629,575.556498644123,535.31751403974,470.312973399526,470.169625294021,510.870121472629,400.331682908552,418.422686356346,413.747270611793,503.829926444246,406.154090135415,499.130524214342,440.933496695227,411.876973021172,417.216811559925,1402.38605199069,1250.25264567825,1268.44986716398,691.187384608749,1033.53630434349,925.313758909848,1511.76898617039,1881.26802133906,1617.42795459272,1347.0380655906,1493.59265584948,1567.18213686552,1056.75419121051,1190.15058989282,1068.80967381351,969.574114589022,795.797703056162,882.862794849111,713.399092513805,730.829609001793,783.885173905633,953.455946861897,901.82394863287,966.925037950571,1075.76371768152,1243.35047389547,1215.2527427207
sp|P25714|OXAA_ECOLI,yidC,Inner membrane protein oxaA OS=Escherichia coli (strain K12) GN=oxaA PE=1 SV=2,10,523.71,P25714,2030.0589361807,1759.6461352074,2660.53206749635,841.686559223052,902.13000438178,825.76617671781,1523.32900997239,1239.99200963348,1843.95549663131,364.659304560469,486.166093701254,542.629518535749,629.897754568785,713.564129568959,767.020007112532,839.917900645992,894.832075921333,810.072858170349,657.373648765691,865.811439062942,937.666055411749,540.364971446097,886.929801035226,843.345308811732,1080.8239119648,1225.13963283053,1011.67232923453,836.931153020384,787.118395978266,815.706820733537,668.022969887086,728.579226316163,779.941961397421,672.298112891035,675.499686626272,658.868074599385,330.770949545781,277.348803201448,357.27338189966,472.768235515163,401.291850689223,458.75108409013,846.448390586896,805.635963434701,807.274629254616,341.917826343667,832.13753773522,533.360507463226,897.113870344325,877.336749726477,1103.77629031649,625.782519476553,858.293618104661,953.925118958221,858.508295880475,791.222077047226,751.558316992437,887.580216751578,916.285964458751,582.433494903851,502.346716895225,395.961803719768,536.007294341914,729.131127518135,703.544433363069,908.490104598395,983.993948777144,1091.31728873531,1104.0752061694
sp|P37689|GPMI_ECOLI,gpmI,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Escherichia coli (strain K12) GN=gpmI PE=1 SV=1",22,1532.01,P37689,2027.56413055571,2063.95800161851,2220.14903022759,2725.25884638318,2636.31063406915,2655.66136808643,2464.5082206342,2580.34806425427,2178.09170538483,459.944352790667,448.306838942952,475.850716113808,808.448038045611,725.537533031922,711.449332464517,2039.25563004232,1727.8799315031,2000.79655427728,1656.68186487468,1755.07781482952,1624.14493527696,574.298744353623,593.338453501215,628.809055446754,1778.79750216795,1709.4297145076,1492.81121867515,799.151793025114,780.982145983432,876.285240352234,638.431665509509,702.748012619672,664.816720933782,669.2739756569,555.819196238085,518.990295810015,919.205365102213,848.077854060702,1096.41522427973,1027.16660103383,979.757532997564,949.309322750027,2799.33158644398,2450.76205240693,2545.90912124094,1775.96468799503,1937.45195068852,2070.84509870197,2816.22915066992,2579.92723843321,2530.14992560185,2845.28524968295,3059.91674657188,3130.08213199779,2434.98098168297,2466.19471592369,2600.62612391204,1101.60780277896,1086.85580315198,992.370381291743,1046.40951569666,943.749533313111,910.323521460484,644.04210912866,642.620897108148,740.813950165231,3700.6410152262,3373.71674866019,3645.2012871473
sp|P77695|GNSB_ECOLI,gnsB,Protein gnsB OS=Escherichia coli (strain K12) GN=gnsB PE=3 SV=2,3,233.83,P77695,2025.54289122031,1741.12090818714,1965.5635954069,1820.72255763203,1679.32338777349,1726.54046446878,2040.52783266773,2036.86732826619,1723.28411220821,1126.60736740926,1151.0811078036,998.261757262121,1599.60021148642,1461.41615880754,1245.44380393352,2152.7188038685,1670.65811062208,1709.6328908939,1550.74287193346,1496.00302633915,1457.58523264078,1371.40887056747,1222.93739083763,1455.41920793991,1540.0186335458,1614.64791591025,1716.77745110276,1551.05547930445,1525.84793641306,1676.91619800507,1153.35654919027,1344.16806841388,1064.43238979828,1074.60593834374,926.774056934401,877.643175439227,2217.821867266,2600.10001773787,2653.04040843951,1194.54167269257,1922.89738115683,1311.20995987818,2077.77787820743,2110.97155949201,1971.70438785764,2612.81928934724,2542.98073709122,2595.70231517646,1609.39506197725,5126.25775453554,2071.96011846669,2504.28979028384,2317.20382223704,2422.65416397064,1491.88336875518,2130.39036602,2004.05386083919,1786.0310029744,1602.18258113984,1822.80935228206,1375.22708094848,1489.70409128858,1350.38279357838,1538.45998943313,1502.95924065452,1461.01056271101,2006.35371600003,1768.71031251845,1899.78197119381
sp|P60716|LIPA_ECOLI,lipA,Lipoyl synthase OS=Escherichia coli (strain K12) GN=lipA PE=1 SV=1,9,519.88,P60716,2023.68636490697,3148.34480017037,2685.45719607034,484.773589744906,432.894282443725,437.343539393731,1489.3868831883,1427.5893555109,1355.41460252513,455.428766984592,356.345950199658,501.005390707219,706.872516153809,741.058439380227,721.372548526102,660.74906711788,673.939754723175,634.507229019699,547.735112790108,478.777975219852,557.039217759689,903.82312112042,859.862760353514,685.377103334377,461.462370594123,469.474344297558,538.044980665174,497.640152831414,509.153911120494,460.685334324765,380.199870913034,378.589722829985,326.460355413201,353.177391683305,319.405917969929,344.666845563353,210.507045459202,208.004521238059,68.8767390360156,42.4011518487183,58.8006869866557,44.0280101329629,506.33833255905,544.074964125908,485.749298945154,123.228232415002,304.329598245836,246.658521194791,497.929513442719,234.312461832979,288.385132789015,509.34519398846,482.846271075936,417.445832581993,604.199689297717,564.382034965532,599.848167980307,542.037438696473,453.447626986583,588.172077887117,533.825039440987,416.909617706186,433.26451119038,828.432907219739,829.802408842975,915.747915310301,911.403652562236,656.785717572258,836.328652147774
sp|P00561|AK1H_ECOLI,thrA,Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2,42,3126.22,P00561,2017.84805895072,2159.91015467599,2191.15463409118,5703.25698215395,5995.7671552988,5485.08383180391,1768.82284302927,1697.44196274827,2007.58395534742,1783.14388761277,2514.97274238486,2108.48742055679,2913.23930044786,3422.81511725874,3503.82494809397,5186.14257764791,5310.30594735578,5214.63251338164,4027.70843619715,4679.42719386668,4926.33745774175,6515.57151814839,11269.7199463863,10181.4368493247,7938.23153191087,8123.59168083187,5548.87986461514,3244.42610550173,3275.01547548619,3376.02049932824,2010.08747980595,2343.81074512372,2044.78160491694,1424.30752841588,1565.25470518393,1464.440999032,2846.94953713551,2482.62512773312,2570.64136145228,2797.86087651494,2620.14498765029,3178.77604963905,5412.08899479652,5600.33446993634,5146.58947690121,5072.17936347119,7877.56429465647,6417.27499732887,4512.07274385985,4505.22947317445,5495.02159996882,5430.10683588784,5282.57152240981,5041.51243398798,9495.19753931125,9303.32327930752,7822.08666953765,4937.68434508201,4388.29984154444,3744.51246712875,2090.37704579909,1621.23983444629,2073.37282176132,3342.11158434343,3815.47515096043,3827.38863533243,7710.01287701524,9641.22433436356,11211.5082424981
sp|P38489|NFNB_ECOLI,nfnB,Oxygen-insensitive NAD(P)H nitroreductase OS=Escherichia coli (strain K12) GN=nfnB PE=1 SV=1,12,593.25,P38489,1998.62612405307,2092.74597866491,2039.27488276654,1619.424400927,1479.5358636599,1503.34748231302,2137.50362563266,2225.9678770015,2030.66646495846,745.748831635207,713.099293655886,702.058451313915,915.867191770934,1023.40889029534,915.263035405747,1210.45371411317,1251.47227062842,1176.5297787508,1141.03785816187,1149.25781111941,1164.45635751595,1096.4426301519,879.3316864972,997.399616852796,889.847910061448,926.873547620729,961.639764466919,847.8129416835,839.149784871156,825.566512240084,647.570971558137,620.336612064388,585.031091448792,445.866958547262,399.719071446958,400.922542306064,243.435217358254,262.675970424805,234.487801920836,294.416743193479,203.311709004535,276.56485859946,1433.53259299432,1582.72773939659,1544.62496721798,1728.97204764291,1270.17339368307,1476.65005676654,1167.56430626372,1509.93760014972,1525.67124114111,1597.55533717797,1510.32761789345,1437.72137692394,1104.40975390201,1029.24315987648,1098.07312538995,1220.29617976877,808.35970285098,885.563532525332,562.922170218045,546.358221825955,588.408873141451,933.023394421183,788.036037598057,725.24402666357,1037.04637969405,989.766525590669,836.323137918875
sp|P32176|FDOG_ECOLI,fdoG,Formate dehydrogenase-O major subunit OS=Escherichia coli (strain K12) GN=fdoG PE=1 SV=5,16,1159.21,P32176,1994.13769162214,2034.01814851283,2046.08876006516,13.0332895966947,14.7534908344751,12.2339255616112,34.3417638193267,15.1311026639465,25.4412217631411,12.1255674452301,38.0035437298292,14.6628374035885,13.8339638070048,14.5372183704796,20.4091030844552,13.0397963549599,13.9427494744965,7.04214227772836,12.0281296502439,8.43891455546238,6.9137910463803,13.0184732922466,16.6262881300734,18.0922689260962,14.533860572733,13.9548966373574,11.9602546179286,14.9936167819302,14.9710276012248,12.4137224137488,11.3642245124837,11.0189359417093,13.2529863774658,10.8842793425657,11.0199332326658,10.7344334527494,5.04961537844339,3.81699547345943,2.85972951911865,6.885804344644,5.36695845188097,3.98755580214378,17.2673109335634,14.2185892672828,9.6769783554702,52.313297233354,7.68563174139809,10.7208039055431,16.319250719427,10.5325450570216,33.6857891995042,13.3353719766127,15.8867604711144,14.10309199975,12.9177862742897,15.1294949762681,15.233173482873,22.3252980641419,14.6458287990438,10.8605065322659,8.26634505129967,10.4343824783679,11.6406412580764,16.1546024005472,10.5041924437285,13.3949514342471,19.4942060827558,21.5679120264985,19.5999423709768
sp|P69829|PTSN_ECOLI,ptsN,Nitrogen regulatory protein OS=Escherichia coli (strain K12) GN=ptsN PE=1 SV=1,6,542.95,P69829,1986.56603548517,1726.36470434147,1917.23839232995,861.440722092941,966.515867748243,754.772444021797,1187.51322812233,1181.39418046511,1150.98939694597,710.457757006315,652.194145661937,765.25623211039,829.049079448865,750.407832392748,826.680018398609,756.514525339349,860.290411507163,823.747034878934,900.666434107973,907.575001278413,802.315105908568,828.475022268833,938.288932683141,788.78369728171,887.202968272052,928.372041995516,907.270916432406,902.634927497348,1013.45790558362,909.415591216819,594.005292360652,800.701235281823,799.148753530967,850.984240915824,655.822022312791,631.787700199484,625.677244527335,755.028646142518,759.788232729733,698.971363293999,763.864915694671,615.995861584368,763.722982308011,836.570998864913,751.390858086916,1180.66409294599,1067.41803561096,1113.28738120189,789.4418647292,765.653291861627,884.711553575608,988.633389008588,1078.7048205463,999.51349159422,1037.68012077374,798.210159274092,864.7126822452,1258.00341051354,1272.46668773099,1230.13150267715,1356.24698117684,2872.30055669857,2406.82889647995,1186.21772663189,1338.98332249299,1391.1631041516,885.51581591057,1070.45640140472,863.316582596081
sp|P0AB61|YCIN_ECOLI,yciN,Protein yciN OS=Escherichia coli (strain K12) GN=yciN PE=1 SV=1,3,154.67,P0AB61,1985.77396705257,2099.04722447714,2215.7780653123,767.65336345182,631.303989962422,679.682812563118,1346.7059281902,2138.56290461259,1537.18419525746,519.626508959152,501.440847379934,429.768241385917,930.469987624052,567.911239842318,573.985234721307,942.23019188224,599.628065611835,1077.13291638142,982.586829757357,786.608791751127,638.635679692648,614.50884290529,483.621137826427,758.383208880953,505.972843931131,505.72659992011,739.916166452935,461.637941216799,510.797955255584,402.819982529733,640.646933775102,405.653269272674,378.546582921847,457.955040672081,396.921027801173,396.575432154941,1539.5709045932,469.533265286725,332.370875075087,235.388214106602,553.894953709808,262.203310849116,697.884917675515,692.593199558468,640.965014257347,1856.1778412358,1626.50644632697,1153.81607652926,1343.13821908565,2597.6855760754,1263.47361745415,1104.5932348484,981.207281202404,1107.41356963422,761.816348297421,1045.12129045554,914.284220635189,662.685223612225,587.902895867221,644.336256049565,674.091844656716,800.041350687166,569.322075416028,695.933647577219,582.704930767165,712.133447420244,1171.29019465347,965.434210654833,583.677885206882
sp|P0A9L5|PPIC_ECOLI,ppiC,Peptidyl-prolyl cis-trans isomerase C OS=Escherichia coli (strain K12) GN=ppiC PE=1 SV=2,5,189.55,P0A9L5,1975.75137865394,2381.11853929583,1875.00756700123,1087.63525507585,1046.97006285225,1128.34679409648,2513.27796149316,2672.69313770799,2147.69961950565,1025.1538504651,626.135535002206,912.151172477665,1138.83282004579,1216.13871158936,1227.30888722497,1137.90558162334,716.627272342416,872.359839690758,1305.09984580904,1354.86209026558,911.140080148793,1134.91902548523,1019.72027402175,925.28431963757,1127.23847242888,1156.58803517892,1338.5311849835,949.366742917065,1058.08422121397,903.203812864261,907.537897890034,1025.87335451039,793.85976157326,664.461786159598,655.391325194176,700.114361434931,205.193293957929,123.703536275236,267.437874217581,121.784376074647,156.721786767365,172.823145870439,849.575317779707,866.376520266881,1271.34353485978,1420.52159337306,1206.98148478805,1190.84500429124,1118.20128954072,691.546549528945,761.94108120505,1428.05622113496,978.634820522174,951.005616211593,1372.99500236255,1460.64216478999,1125.94040537222,899.890156573686,938.279895751763,1364.65708988764,1453.55518179606,1225.99300337493,1141.5531532514,990.694068907703,1368.85404068715,1210.33850753946,1512.40046784577,1579.65829052307,1263.32441786633
sp|P33219|YEBF_ECOLI,yebF,Protein yebF OS=Escherichia coli (strain K12) GN=yebF PE=1 SV=2,8,382.19,P33219,1974.75960717713,850.046460196829,772.325660211965,1716.21734254551,1608.69462044668,1758.3797821873,2257.83965434936,1953.39438368254,2077.26507443528,1487.53397579572,1259.13905539731,1444.56212124972,1856.1481710863,2195.01693395627,2081.7983041518,1780.82596150718,1908.88725898021,1515.20151181222,1859.26180661032,1720.98617286517,1653.29641228623,1171.03504045724,1000.57628327367,974.591770469251,1773.89766509132,1930.69618265849,2071.18002578842,1745.08178145279,1833.43976602097,1770.29312503447,1527.73628179136,1736.40293143618,1633.06778578117,1031.46837255881,1269.51445709864,1191.51363872968,1506.07728975027,1547.66062036839,1048.74458011611,821.95678850615,680.902858143679,634.898465435302,1521.51771171328,1345.03936983679,1714.45132102326,2776.39473743599,2887.92591148018,2674.60776886432,1158.93401871053,1260.26969713284,1346.31066724942,1606.60019583598,1676.05594340152,1521.9718970061,1069.73740364247,1380.7176085589,1056.79193628031,1657.7604721052,1951.57036114317,2044.21198720163,1623.23510012577,1513.56225705558,1574.46598940789,1186.69729286129,1620.72205001209,1776.89364437591,1204.46424246829,1142.18859874175,1133.22080255751
sp|P0AAC8|ISCA_ECOLI,iscA,Iron-binding protein iscA OS=Escherichia coli (strain K12) GN=iscA PE=1 SV=1,4,178.35,P0AAC8,1953.49557499298,2887.3182827428,1716.55466979266,1450.93486710338,1429.27463995879,1465.33471211271,1950.85719679878,2224.8465156852,1952.12742128846,818.514121892514,655.186626924928,730.341330999887,852.88020574753,851.232667790991,963.644399810417,862.88046336668,1063.6875101079,840.15364103645,1189.56105422019,1100.68138349624,1299.04195672877,736.305154903314,762.814848573532,676.670173466604,1058.68091249597,1061.82449028057,1036.32993767823,699.935095339608,804.83112693576,598.395129488334,514.956306243232,436.354255089417,395.026027836844,333.768669428214,278.550227871121,316.669292791109,114.414185104775,24.6971845805053,91.3149191029605,128.231731968289,45.214505983387,93.4204627504451,1938.55341792106,2077.4000233451,1642.02172600401,1568.66592538359,1714.03160608196,1237.05238101342,1684.7730587974,659.262544438613,1410.8754466393,953.253150725236,856.219784820221,785.31427206963,2028.91605052644,2047.52620313681,2085.43438822991,1121.57407559106,1088.20186394447,1467.12113982398,939.822316928251,745.366525898785,774.435404348174,1501.37062649456,1089.76593195831,1256.93439350844,1745.81677584824,1783.8453094465,1911.50992863083
sp|P0AFC3|NUOA_ECOLI,nuoA,NADH-quinone oxidoreductase subunit A OS=Escherichia coli (strain K12) GN=nuoA PE=3 SV=1,3,144.85,P0AFC3,1949.4200451072,1572.05862655882,2852.44234506363,461.143545025066,427.404594563756,436.558946788997,1567.41830012151,1272.60349803915,1805.01821143539,363.263503503031,426.663366692838,473.682282732227,582.900771377029,651.921250478449,738.513721759977,1031.97137262082,927.754231941178,903.910949818803,594.933186491802,739.036280226221,826.366529593884,411.283808638154,797.859817100216,566.29217134228,1200.48721812797,1279.75272453082,1051.86634629833,932.929181438516,843.765307417568,1033.37908388984,728.803136396742,929.393977371218,831.917350937282,708.216386753137,714.995633820303,772.69716958706,93.1815473078368,218.694744083981,155.770939338853,247.271587710467,209.372813812588,243.036569071854,486.232212888116,445.817902433602,384.166474264887,209.694203955448,267.64258249891,329.547243397451,564.435422180464,718.321246073047,669.176705429931,523.631025208968,615.137797887663,620.232049801963,559.591698635529,598.416794677098,754.092610268194,788.843785328712,695.951757175786,512.824531502858,352.740552485023,269.685297768563,336.523452440727,458.660195067856,510.508779612148,680.375599026707,837.291650130238,970.430770082464,1004.32115826596
sp|P0A8R0|RRAA_ECOLI,rraA,Regulator of ribonuclease activity A OS=Escherichia coli (strain K12) GN=rraA PE=1 SV=1,4,250.71,P0A8R0,1920.75952076959,2010.58956931891,1867.15969832479,1465.50940556033,1558.89773435708,1730.34378905084,1615.23058957007,1559.23097968282,1598.66420706627,907.284119799976,1007.54700792393,977.116098803624,1113.2025698518,1275.64683465201,1184.5224744288,1340.25575730449,1329.13973840468,1373.25080144792,1163.91380609161,1422.66034171019,1210.2264681811,1669.50786884518,1192.3465828733,1507.64563766707,1038.61332207653,1027.75929194239,1003.07979961818,863.866975422191,950.273863060474,903.716871935144,1018.18820980808,1005.80148748956,948.401489661592,976.238152965141,979.709492784091,948.735520501855,1460.77820652417,1713.80909412015,1614.4057139383,1472.53638834866,1413.09981007652,1230.42233396166,1245.90529741614,1438.00550266707,1560.19642747434,1867.86355828001,1616.37253788202,1762.69743917523,2204.78760696475,2967.28565107355,2293.47976566746,1955.97082891748,2089.69770401606,2443.75000115181,1454.52722628488,1708.60762933082,1591.10706625585,1442.22717659854,1152.35963045519,1276.93671261416,1033.94136214172,1510.35983922939,1268.47780033108,1115.84234063249,1124.74889097616,1124.69993838116,1238.56765790852,1261.67469626859,1419.91094122686
sp|P76372|WZZB_ECOLI,wzzB,Chain length determinant protein OS=Escherichia coli (strain K12) GN=wzzB PE=1 SV=2,13,724.67,P76372,1920.53951022752,2331.49410757506,2407.87299081815,1634.20908096808,1677.06190785014,1637.38773888822,2367.69163438837,2223.97093049255,2382.35896671641,857.430502200016,780.516398727809,841.993120631161,1264.93022817453,1363.15812247522,1158.92197364186,1390.6985445754,1345.62359643012,1432.14192648072,1350.47609513227,1298.41099078532,1221.40593974847,1107.70800185475,1123.9709840312,1089.71224648648,1352.87460074126,1256.43957006873,1331.87439386829,1039.10515839903,1027.56452310124,1101.92939009901,913.154439990357,853.908946455899,830.046816023548,771.912709377464,801.218479488118,834.422593789785,1162.77883634523,1057.45048574195,1260.85971582292,1326.01446924925,1220.15906405144,1293.17569374475,1830.84654077658,1787.81259979114,1702.15234399316,1407.14278357894,1539.57199841424,1401.29933220818,1610.81527272225,1679.95333397036,1673.56007583872,1722.73828858668,1913.1687064509,1914.08829335638,1564.1775194768,1507.80103809681,1662.11648497889,1135.14862519759,1091.58711434333,1282.1026911945,1088.16599401755,934.496552008753,1067.6156481775,1533.40684080072,1447.48739714208,1346.8722145343,1553.15912154028,1430.27342684119,1590.23241500351
sp|P76621|CSID_ECOLI,csiD,Protein CsiD OS=Escherichia coli (strain K12) GN=csiD PE=1 SV=2,10,467.21,P76621,1915.74913219042,452.766749887328,635.736485715447,53.2754634004675,55.821488103953,69.3532541753504,686.241074611666,618.763603429623,572.110626458245,251.23497678487,154.724781639699,275.20285127692,206.701676017883,218.444166914517,249.088927664745,207.77058001758,226.964530301494,178.835709443543,188.907620676814,225.521725914359,232.742860067472,258.575178608434,237.784268759094,257.400844159544,328.754302034101,331.311852019708,214.211247773609,233.278046177173,211.408569012965,263.769205152512,181.314816982526,183.517649047661,158.67097139465,162.353416220167,137.625090351304,150.684381911515,12.6490567732335,13.4611034182079,10.7929178268816,22.6093703242913,17.2089309951183,18.6752069050878,41.6199571851491,31.7626409696033,32.8704126502567,38.910360267308,46.45216136122,45.1400641591874,44.6919558120988,47.5740201058393,35.173686102935,51.2326721682801,45.4957122801128,69.0884865018298,30.7038490290559,44.9667113391283,46.4408106134792,189.505651946642,124.049954604094,136.212683484292,146.265161158997,133.209974983722,167.239520095536,77.838135664818,202.14611305089,144.844306065977,57.2575658398287,52.3318764354397,132.560013938389
sp|P0A6T3|GAL1_ECOLI,galK,Galactokinase OS=Escherichia coli (strain K12) GN=galK PE=1 SV=2,13,861.04,P0A6T3,1912.97618116897,1786.08662312767,1671.07937078589,431.384639407271,369.004941432275,348.098877061372,1346.54468718517,1664.04376947628,1355.07483871775,520.158963004356,542.5547135482,514.246785308707,644.271127918316,610.179202219348,553.630697024357,794.750780288853,736.949052416196,806.76958862779,579.283738399969,619.026995332434,591.311824689651,516.887668000963,533.586656304545,504.81103927451,479.34704705238,528.846873528402,551.952866072172,592.090370420407,588.631274445356,544.349881627513,491.176458936304,558.531673114203,551.134811327098,465.835314099564,441.790784522541,409.941786612065,219.372596674605,274.680316475522,291.791824391837,220.569391177139,317.16009005936,208.646634895724,420.271179473847,448.687557578032,375.652492014897,485.977602269931,566.139256377562,358.263258726652,510.994927350966,525.863141142217,331.278402929124,296.286704191108,277.731388407676,262.518598514027,490.496304606497,371.496190790132,431.723987169661,776.913347871231,677.752529900817,870.314939442985,4778.16935707231,5461.08531070527,4458.83532773521,712.821124492266,734.104388345896,649.48824748955,499.180885179919,469.40944570962,506.609082204643
sp|P0ADS6|YGGE_ECOLI,yggE,Uncharacterized protein yggE OS=Escherichia coli (strain K12) GN=yggE PE=4 SV=1,6,338.99,P0ADS6,1896.52992328324,1161.06873236271,1276.20567431434,926.067698703197,948.128714169098,1000.59544433717,991.113256550641,1177.92339384249,1067.20278074412,657.599225668173,695.758617928616,674.031128091035,927.114092334624,832.363250019254,811.054638611945,789.384371737179,697.140878017846,991.887413094827,853.735523528468,943.233384764619,862.991275984252,618.396672396167,714.993803824363,691.930286904539,970.588348309041,736.254159392774,954.434385086236,816.013768015626,613.291653854715,917.80701403265,523.297082793865,599.781509281676,704.339700314305,699.620408585645,805.606345759022,699.217297480905,656.499515766575,1083.01449987331,1194.99103724773,1297.52449103436,1281.61731190238,1237.81311863581,900.888843705577,969.101324434116,897.65746866402,1587.05396815017,1197.05681047533,1204.18707402915,2119.52832496127,1778.06469333904,1462.66416964123,1460.33263511085,1438.33236293096,1615.88555783094,992.39104698887,1238.60153123567,909.251014358511,962.283370276221,874.413636915664,1016.24029148737,735.868027866413,1119.9560427554,943.957941240838,684.635819594831,931.515174465411,981.142482564553,669.655011790231,862.482329386884,879.660966020208
sp|P30744|SDHM_ECOLI;sp|P42630|TDCG_ECOLI,sdaB,L-serine dehydratase 2 OS=Escherichia coli (strain K12) GN=sdaB PE=1 SV=2,8,645.53,P30744,1895.03195198073,3658.01231862435,2367.41185482325,30.8253543965003,37.489683417632,39.7068152737058,181.457754377071,206.872106250646,205.417975815705,15.3471297792615,15.0368942261255,17.8465314408365,19.1371156956374,21.3387348290792,15.0938028410331,18.4227792404119,18.5637065888201,17.1738042123348,22.8127640281633,17.7271711858543,21.2006044315092,15.6879567123087,18.5494885204165,41.0520339604226,18.1024748619183,17.178372716384,20.2868170365186,17.8031736632434,15.610206468617,16.143789424137,3.3512597234037,12.3034566533206,10.5358206505159,19.843028558019,10.1307796299154,10.5269387012987,6.23350649096821,3.50056973708045,13.049691624791,4.55233150542637,6.95532769229829,6.33620373305071,19.0423473985224,16.3249429819617,20.5056150482387,21.9664902446687,15.679781640393,18.0520581523016,12.2216417948224,12.8876583997564,18.9078849099361,9.74932310166623,26.947729080933,13.6327826828359,9.11446395097679,13.6142735503062,12.0435744699486,10.3923588736757,12.3550029124772,38.3843714056931,8.68754724788019,18.679436373548,21.4288272820148,25.3005379569914,17.8937120389396,25.9082848639086,34.2602915496017,42.3447913370276,19.138285322479
